;Tmin;Tmax;Tmean;WindSpeed;WindMaxSpeed;WindDir;Rainfall
2010-09-01;21.1;30.0;25.6;-999.0;-999.0;-999;0.0
2010-09-02;17.2;31.2;24.2;-999.0;-999.0;-999;0.0
2010-09-03;18.9;33.5;26.2;-999.0;-999.0;-999;0.0
2010-09-04;19.3;33.3;26.3;-999.0;-999.0;-999;0.0
2010-09-05;17.2;34.1;25.6;-999.0;-999.0;NW;0.0
2010-09-06;18.8;34.1;26.7;1.0;8.0;NW;0.0
2010-09-07;17.5;27.3;22.3;1.0;20.9;SSE;0.0
2010-09-08;16.6;26.6;21.3;3.4;25.7;SSE;0.0
2010-09-09;15.4;31.1;22.5;1.1;11.3;NW;0.0
2010-09-10;18.7;28.7;22.8;3.7;16.1;NW;0.0
2010-09-11;18.3;27.9;22.4;5.1;16.1;NW;0.0
2010-09-12;19.6;28.7;23.3;4.5;20.9;NW;0.0
2010-09-13;19.7;29.2;23.6;4.5;16.1;NW;0.0
2010-09-14;15.2;37.1;25.2;0.6;16.1;WNW;0.0
2010-09-15;19.9;31.1;24.5;3.2;14.5;WNW;0.0
2010-09-16;19.2;30.7;23.8;1.0;11.3;WNW;3.6
2010-09-17;16.5;24.1;18.7;0.3;20.9;WNW;11.8
2010-09-18;13.9;26.9;19.6;0.6;12.9;NW;0.0
2010-09-19;13.2;27.2;19.9;1.9;14.5;WNW;0.0
2010-09-20;19.2;26.1;21.6;3.4;16.1;WNW;0.2
2010-09-21;17.0;28.8;21.9;1.3;9.7;WNW;0.0
2010-09-22;17.5;28.5;21.5;6.3;41.8;WNW;1.0
2010-09-23;16.6;23.0;19.9;8.7;40.2;SSE;0.0
2010-09-24;12.9;24.6;19.2;5.8;29.0;WNW;0.0
2010-09-25;15.3;26.1;21.1;6.9;33.8;WNW;0.0
2010-09-26;15.2;24.6;19.3;4.7;25.7;WNW;0.0
2010-09-27;10.3;24.3;17.6;5.3;30.6;W;0.0
2010-09-28;10.8;25.2;18.9;4.7;27.4;WNW;0.0
2010-09-29;9.9;28.2;19.9;4.8;27.4;SW;0.0
2010-09-30;11.1;29.4;20.6;3.1;27.4;SW;0.0
2010-10-01;10.2;28.6;20.2;3.4;22.5;WNW;0.0
2010-10-02;10.2;30.4;20.4;3.7;37.0;SSW;0.0
2010-10-03;13.7;22.9;18.8;8.2;41.8;SW;0.0
2010-10-04;13.9;20.4;17.2;8.5;35.4;WNW;3.6
2010-10-05;8.2;23.7;16.6;6.3;37.0;SSE;0.0
2010-10-06;13.0;26.3;19.5;5.6;30.6;SSE;0.0
2010-10-07;16.1;24.3;19.9;10.6;43.5;SSE;0.0
2010-10-08;16.1;26.0;20.3;11.9;43.5;SSE;0.0
2010-10-09;14.8;19.8;17.6;14.6;49.9;SSE;7.8
2010-10-10;11.9;19.0;15.3;7.2;37.0;W;4.4
2010-10-11;10.8;19.9;15.2;5.3;30.6;NW;0.0
2010-10-12;12.7;20.1;15.6;4.7;27.4;WNW;4.8
2010-10-13;10.4;20.6;15.6;3.7;20.9;WNW;0.0
2010-10-14;9.4;21.1;15.7;2.9;22.5;NW;0.0
2010-10-15;12.4;21.6;16.6;4.0;25.7;NNE;0.0
2010-10-16;9.0;21.2;15.7;4.0;29.0;WNW;0.0
2010-10-17;8.9;20.6;14.9;5.3;27.4;NW;0.0
2010-10-18;4.1;21.9;13.2;3.5;19.3;NE;0.0
2010-10-19;5.2;20.9;12.6;5.5;27.4;SSE;0.0
2010-10-20;7.00831801281193;21.7100013836784;14.4556218530207;-999.0;-999.0;-999;0.0
2010-10-21;9.74082126068704;19.1941691422916;14.5462053076092;-999.0;-999.0;-999;0.0
2010-10-22;14.4;19.4;16.7;18.5;48.3;SSE;0.0
2010-10-23;11.4;21.3;15.6;5.0;29.0;NW;0.0
2010-10-24;7.0;21.9;15.2;3.7;25.7;WNW;0.0
2010-10-25;11.6;20.3;16.3;8.4;38.6;WNW;0.0
2010-10-26;4.5;21.3;13.7;3.9;19.3;WSW;0.0
2010-10-27;4.8;23.6;13.8;2.9;17.7;SSW;0.0
2010-10-28;6.7;21.8;14.4;9.0;37.0;SSE;0.0
2010-10-29;13.4;25.6;17.7;15.4;58.9;SSW;0.0
2010-10-30;7.7;16.3;12.0;4.7;35.4;SSW;0.6
2010-10-31;10.9;16.7;14.4;20.8;66.0;W;2.6
2010-11-01;8.3;15.3;11.3;9.0;38.6;WNW;0.0
2010-11-02;5.4;18.6;12.4;7.2;45.1;NNW;0.0
2010-11-03;4.4;22.7;13.6;2.3;16.1;SW;0.0
2010-11-04;12.1;21.1;16.2;11.6;41.8;SSE;0.0
2010-11-05;11.3;20.0;15.7;12.9;43.5;SSE;0.0
2010-11-06;8.3;20.9;14.5;3.5;27.4;NE;0.0
2010-11-07;5.5;17.8;11.8;5.5;35.4;W;0.0
2010-11-08;10.3;13.9;12.3;13.2;62.8;W;0.0
2010-11-09;9.6;16.1;13.1;19.5;61.2;W;2.4
2010-11-10;7.7;14.9;10.9;7.6;35.4;W;0.0
2010-11-11;1.9;16.4;10.1;3.2;19.3;NW;0.0
2010-11-12;3.7;18.1;10.6;3.2;24.1;SW;0.0
2010-11-13;4.0;18.1;11.4;2.4;20.9;NW;0.0
2010-11-14;8.7;17.7;12.9;4.0;27.4;W;1.6
2010-11-15;3.4;12.2;8.7;7.7;37.0;WNW;0.0
2010-11-16;0.0999999999999996;16.2;7.3;2.3;16.1;SSW;0.0
2010-11-17;1.1;13.8;7.5;4.8;32.2;WNW;2.2
2010-11-18;2.2;13.0;7.5;4.8;25.7;WNW;0.2
2010-11-19;3.7;16.9;10.0;4.5;32.2;SW;0.0
2010-11-20;4.8;17.9;10.4;7.1;54.7;WNW;2.0
2010-11-21;6.8;12.6;9.7;8.5;38.6;W;0.0
2010-11-22;4.0;12.7;9.2;6.4;32.2;WNW;0.0
2010-11-23;3.9;12.5;8.3;1.4;16.1;SW;0.4
2010-11-24;10.8;18.2;14.0;5.6;30.6;SW;1.0
2010-11-25;6.4;17.0;12.4;4.0;25.7;W;0.4
2010-11-26;6.8;13.1;9.8;9.3;41.8;SSE;8.2
2010-11-27;8.5;10.5;9.4;10.3;43.5;SSE;32.6
2010-11-28;4.3;10.6;7.8;6.4;27.4;WNW;0.0
2010-11-29;5.1;10.1;7.7;12.6;53.1;SSE;11.6
2010-11-30;6.7;12.1;9.6;4.8;27.4;SW;1.0
2010-12-01;6.2;11.4;8.4;11.4;57.9;W;9.6
2010-12-02;3.9;10.3;7.8;7.2;35.4;WNW;1.2
2010-12-03;1.3;8.2;4.6;5.6;30.6;NW;0.0
2010-12-04;-0.0999999999999996;10.2;6.7;21.2;66.0;SSE;0.0
2010-12-05;8.5;14.3;10.8;22.9;66.0;SSE;3.4
2010-12-06;10.3;20.0;14.1;13.0;53.1;SSE;35.2
2010-12-07;13.3;20.9;17.2;18.0;54.7;SSW;2.6
2010-12-08;14.3;18.6;16.2;14.2;43.5;SSE;0.0
2010-12-09;14.3;21.8;17.9;11.4;46.7;SSE;0.0
2010-12-10;12.8;18.3;15.6;21.9;75.6;SSE;0.0
2010-12-11;10.4;15.3;12.6;23.2;57.9;SSE;0.0
2010-12-12;8.9;15.6;11.7;4.5;22.5;WNW;0.0
2010-12-13;9.8;18.3;12.8;2.9;14.5;NE;0.0
2010-12-14;4.7;16.1;9.6;2.1;17.7;NE;0.2
2010-12-15;2.4;11.1;6.4;8.0;38.6;N;0.4
2010-12-16;0.300000000000001;8.6;4.1;5.5;24.1;NE;0.0
2010-12-17;1.3;11.6;8.9;4.8;51.5;SSE;0.0
2010-12-18;7.2;12.4;10.4;10.8;53.1;SSE;21.6
2010-12-19;8.8;13.3;11.3;11.4;54.7;W;8.4
2010-12-20;5.0;13.9;9.7;7.2;54.7;SSE;3.4
2010-12-21;10.7;15.5;12.8;17.1;57.9;SSE;9.4
2010-12-22;9.8;13.4;11.1;15.9;49.9;SSE;10.6
2010-12-23;5.1;11.1;8.9;19.3;67.6;W;3.2
2010-12-24;0.9;7.4;4.3;6.1;24.1;WNW;0.0
2010-12-25;3.5;8.1;5.9;2.9;14.5;N;0.6
2010-12-26;2.7;13.1;7.6;3.4;25.7;NE;0.0
2010-12-27;2.8;13.2;8.4;3.2;20.9;SSW;0.2
2010-12-28;3.8;13.2;8.3;4.8;35.4;SSE;0.2
2010-12-29;7.2;11.9;9.6;13.7;54.7;SSE;0.2
2010-12-30;8.8;11.9;10.1;16.7;43.5;SSE;1.2
2010-12-31;9.2;13.2;11.1;7.7;27.4;SSE;5.6
2011-01-01;9.9;12.9;11.6;3.4;19.3;WNW;5.6
2011-01-02;8.2;13.8;10.9;5.0;20.9;WNW;0.0
2011-01-03;5.6;15.2;9.4;2.3;14.5;NE;0.0
2011-01-04;2.3;16.6;8.0;1.8;17.7;SW;0.2
2011-01-05;3.6;16.4;9.9;3.9;37.0;SSW;0.2
2011-01-06;9.4;18.1;13.1;4.8;27.4;SSW;0.0
2011-01-07;8.6;13.6;11.3;7.9;41.8;SSE;8.8
2011-01-08;6.1;16.4;11.3;9.5;45.1;SSE;5.2
2011-01-09;7.4;12.6;9.9;5.1;30.6;SW;5.8
2011-01-10;4.6;12.1;8.4;4.0;24.1;NW;0.0
2011-01-11;3.2;13.6;8.7;4.0;24.1;WNW;0.4
2011-01-12;7.1;13.4;10.6;4.3;19.3;N;0.0
2011-01-13;3.7;17.1;10.8;6.3;33.8;SSE;0.2
2011-01-14;4.0;18.3;11.3;3.4;29.0;NW;0.0
2011-01-15;1.4;17.7;9.7;7.1;40.2;SSE;0.2
2011-01-16;5.4;16.3;11.2;8.0;43.5;SSE;0.0
2011-01-17;1.2;17.3;7.9;1.0;11.3;SSW;0.2
2011-01-18;2.2;13.3;9.1;14.5;48.3;SSE;0.2
2011-01-19;8.2;12.1;9.9;13.4;35.4;SSE;0.0
2011-01-20;2.5;14.9;9.1;3.7;19.3;SW;0.0
2011-01-21;3.7;13.8;8.9;6.8;33.8;SSE;0.2
2011-01-22;5.8;8.7;7.2;19.0;48.3;SE;0.0
2011-01-23;3.7;7.1;5.2;14.2;49.9;SE;0.4
2011-01-24;6.9;11.7;8.9;17.5;45.1;SSW;0.0
2011-01-25;7.6;10.4;8.7;15.9;41.8;SSW;0.2
2011-01-26;8.4;10.6;9.1;16.7;49.9;SE;0.0
2011-01-27;7.1;11.9;8.8;7.2;32.2;SW;7.4
2011-01-28;7.6;10.7;8.8;7.9;27.4;SW;15.0
2011-01-29;5.2;11.2;8.1;6.4;32.2;SW;3.0
2011-01-30;1.9;10.3;5.8;4.3;27.4;WNW;1.0
2011-01-31;2.2;9.2;5.6;7.4;29.0;WNW;0.0
2011-02-01;-1.1;9.8;4.3;4.2;24.1;SSW;0.0
2011-02-02;-0.0999999999999996;10.6;4.6;4.3;27.4;SSW;0.0
2011-02-03;-0.4;13.1;5.7;2.7;20.9;N;0.0
2011-02-04;-1.7;18.9;7.2;1.6;12.9;SW;0.0
2011-02-05;0.800000000000001;15.4;8.2;5.0;32.2;SSE;0.0
2011-02-06;0.300000000000001;18.2;8.7;3.1;19.3;SE;0.0
2011-02-07;0.5;17.9;8.3;2.9;24.1;SSW;0.0
2011-02-08;-0.0999999999999996;4.9;2.1;0.2;4.8;SW;0.0
2011-02-09;9.3;10.2;9.6;11.7;27.4;SSE;0.0
2011-02-10;8.1;14.5;10.9;15.4;41.8;SSE;0.0
2011-02-11;-0.4;15.8;8.1;3.1;22.5;WNW;0.0
2011-02-12;-0.800000000000001;15.7;6.1;1.3;16.1;SW;0.2
2011-02-13;0.9;15.8;8.3;8.9;40.2;SW;2.6
2011-02-14;4.9;11.2;8.3;10.9;35.4;WNW;0.4
2011-02-15;8.1;10.6;9.3;12.2;48.3;WNW;24.6
2011-02-16;3.1;12.1;7.7;10.1;70.8;WSW;5.4
2011-02-17;5.2;11.7;8.8;19.8;59.5;W;0.0
2011-02-18;3.5;13.9;8.7;5.3;25.7;WNW;0.0
2011-02-19;3.6;13.6;8.9;2.4;20.9;WNW;0.6
2011-02-20;10.1;14.8;11.7;6.4;32.2;WNW;1.6
2011-02-21;8.4;11.9;10.2;8.5;32.2;W;0.0
2011-02-22;11.5;15.7;13.5;8.2;29.0;NW;0.0
2011-02-23;4.2;19.9;12.3;3.7;19.3;NE;0.0
2011-02-24;6.6;20.5;13.9;4.5;25.7;SE;0.0
2011-02-25;4.1;20.9;12.4;4.7;33.8;SW;0.0
2011-02-26;4.4;22.6;13.3;3.4;25.7;WNW;0.0
2011-02-27;4.4;15.7;10.9;8.4;43.5;NNW;0.0
2011-02-28;1.6;13.7;8.8;9.2;45.1;NNW;0.0
2011-03-01;1.8;10.1;6.3;12.9;51.5;NNE;0.0
2011-03-02;-1.0;11.7;5.4;5.6;30.6;NW;0.0
2011-03-03;-2.4;13.0;6.1;3.1;27.4;SW;0.0
2011-03-04;4.1;9.9;6.6;7.2;33.8;SSE;2.2
2011-03-05;5.4;12.6;8.9;14.6;48.3;SE;0.2
2011-03-06;7.8;11.1;9.2;11.4;43.5;SSE;0.0
2011-03-07;8.1;13.7;10.6;18.7;45.1;SSE;0.0
2011-03-08;10.0;14.1;11.3;14.6;49.9;SSE;1.6
2011-03-09;8.4;10.7;9.3;5.3;32.2;ENE;32.0
2011-03-10;8.4;10.6;9.7;12.4;45.1;SE;4.2
2011-03-11;9.0;12.1;10.2;10.1;43.5;SSE;16.6
2011-03-12;8.9;14.7;11.3;4.5;30.6;W;0.8
2011-03-13;5.0;13.8;9.7;4.5;30.6;SSE;3.8
2011-03-14;7.2;12.4;10.2;10.3;54.7;SSE;5.4
2011-03-15;6.3;12.1;9.3;6.6;32.2;W;0.0
2011-03-16;1.4;14.4;8.9;5.3;27.4;NE;0.0
2011-03-17;8.9;15.5;11.4;7.1;27.4;WNW;0.0
2011-03-18;3.6;19.7;12.0;4.0;27.4;SW;0.0
2011-03-19;3.2;22.0;12.8;3.1;24.1;SE;0.0
2011-03-20;5.5;19.1;12.6;10.9;40.2;SSE;0.0
2011-03-21;9.8;14.5;11.8;25.1;57.9;SSE;0.0
2011-03-22;9.4;13.7;10.7;20.0;46.7;SE;0.0
2011-03-23;7.9;15.2;11.8;16.1;49.9;SE;0.0
2011-03-24;12.5;19.3;15.0;24.3;61.2;SSE;0.0
2011-03-25;11.6;16.9;13.8;21.2;51.5;SSE;0.0
2011-03-26;10.7;20.6;14.1;12.1;45.1;SSE;0.0
2011-03-27;8.3;16.9;12.8;7.7;30.6;WNW;0.0
